mode	depth	label	n_samples	n_subjects	high_cal_samples	lower_cal_samples	n_high_label	n_lower_label	n_high_other	n_lower_other	or_value	ci_low	ci_high	p_value	q_value	mode_key	label_col
Rebuilt	1	Bacteroides dorei	202	49	103	99	83	70	20	29	1.71461933402224	0.853364890746493	3.50020305837103	0.139054786452148	0.139054786452148	rebuilt	depth1_absorb
Rebuilt	1	Segatella sp.	202	49	103	99	20	29	83	70	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452148	0.139054786452148	rebuilt	depth1_absorb
Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.201386453097132	rebuilt	depth2_absorb
Rebuilt	2	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.201386453097132	rebuilt	depth2_absorb
Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	202	49	103	99	20	29	83	70	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452148	0.278109572904297	rebuilt	depth2_absorb
Rebuilt	2	Bacteroides dorei__Escherichia-Shigella coli	202	49	103	99	17	23	86	76	0.654576064071561	0.30344229668703	1.388833181606	0.289595698687013	0.421074382287177	rebuilt	depth2_absorb
Rebuilt	2	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.421074382287177	rebuilt	depth2_absorb
Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	103	99	18	16	85	83	1.09801840898935	0.491405423052103	2.47223265356089	0.852267511855682	0.852267511855682	rebuilt	depth2_absorb
Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	103	99	2	12	101	87	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0439870169772572	rebuilt	depth3_absorb
Rebuilt	3	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.201386453097132	rebuilt	depth3_absorb
Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.201386453097132	rebuilt	depth3_absorb
Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	103	99	10	4	93	95	2.54255396923542	0.702279716335805	11.5046806212585	0.165380938841173	0.372107112392639	rebuilt	depth3_absorb
Rebuilt	3	Bacteroides dorei__Escherichia-Shigella coli	202	49	103	99	17	23	86	76	0.654576064071561	0.30344229668703	1.388833181606	0.289595698687013	0.49292430597567	rebuilt	depth3_absorb
Rebuilt	3	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.49292430597567	rebuilt	depth3_absorb
Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	103	99	6	9	97	90	0.620024899653058	0.174261960062726	2.04068531297592	0.429426897206189	0.49292430597567	rebuilt	depth3_absorb
Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	103	99	2	4	101	95	0.472004437539416	0.0417908027626332	3.38020620643216	0.43815493864504	0.49292430597567	rebuilt	depth3_absorb
Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	103	99	18	16	85	83	1.09801840898935	0.491405423052103	2.47223265356089	0.852267511855682	0.852267511855682	rebuilt	depth3_absorb
Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	202	49	103	99	2	12	101	87	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0537619096388699	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.246138998229828	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.246138998229828	rebuilt	depth4_absorb
Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	202	49	103	99	10	4	93	95	2.54255396923542	0.702279716335805	11.5046806212585	0.165380938841173	0.454797581813226	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	202	49	103	99	4	8	99	91	0.46131813964171	0.0982713668967883	1.79197225257907	0.244459209879125	0.537810261734074	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.60246304063693	rebuilt	depth4_absorb
Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	202	49	103	99	6	9	97	90	0.620024899653058	0.174261960062726	2.04068531297592	0.429426897206189	0.60246304063693	rebuilt	depth4_absorb
Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	202	49	103	99	2	4	101	95	0.472004437539416	0.0417908027626332	3.38020620643216	0.43815493864504	0.60246304063693	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	202	49	103	99	13	15	90	84	0.809741934659656	0.332887536006671	1.94588708448567	0.68550090873021	0.83783444400359	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	202	49	103	99	9	7	94	92	1.25693093475633	0.397571499424989	4.15116308613846	0.796057878258751	0.875663666084627	rebuilt	depth4_absorb
Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	202	49	103	99	9	9	94	90	0.957637161633422	0.320707111936798	2.85930541920137	1	1	rebuilt	depth4_absorb
AGP transfer	1	Bacteroides fragilis	202	49	103	99	3	11	100	88	0.241553141797815	0.0419406260135293	0.953911594168774	0.0266921360656357	0.198855342670696	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Lachnospiraceae fam.	202	49	103	99	2	8	101	91	0.226713133874351	0.0228888623295572	1.17676461292525	0.0549240264926137	0.198855342670696	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	[Eubacterium] coprostanoligenes group fam.	202	49	103	99	5	0	98	99	Inf	0.897373419731599	Inf	0.0596566028012087	0.198855342670696	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Bacteroides dorei	202	49	103	99	31	20	72	79	1.69619708656211	0.850806642917073	3.44138522873812	0.144448476497929	0.297141802440647	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Segatella sp.	202	49	103	99	10	17	93	82	0.520343852416336	0.200849331042325	1.28230887965746	0.148570901220323	0.297141802440647	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Faecalibacterium prausnitzii	202	49	103	99	11	6	92	93	1.84771826054585	0.596653269648383	6.35129100214425	0.31259846446111	0.520997440768516	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Bacteroides ovatus	202	49	103	99	9	5	94	94	1.79487356474333	0.517187304891159	7.08250279649224	0.408335935929484	0.5476936733063	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	UCG-002 sp.	202	49	103	99	2	4	101	95	0.472004437539416	0.0417908027626332	3.38020620643216	0.43815493864504	0.5476936733063	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Bifidobacterium breve	202	49	103	99	9	11	94	88	0.766972316482561	0.266968386116705	2.1465910676104	0.641594432960132	0.712882703289036	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	1	Blautia sp.	202	49	103	99	6	4	97	95	1.46630401930139	0.335583759643732	7.29496981743532	0.748110124649518	0.748110124649518	agp_transfer	depth1_frozen_agp_absorb
AGP transfer	2	Segatella sp.__Bacteroides dorei	198	49	102	96	1	9	101	87	0.0965906150723299	0.0021674252989782	0.720932317531637	0.00813698307113456	0.105780779924749	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Lachnospiraceae fam.__Faecalibacterium prausnitzii	198	49	102	96	1	7	101	89	0.126951696703136	0.00277114000093175	1.01887474758652	0.0308784097642209	0.200709663467436	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	[Eubacterium] coprostanoligenes group fam.	198	49	102	96	5	0	97	96	Inf	0.878677832350272	Inf	0.0599200171353906	0.259653407586693	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bacteroides dorei__Bacteroides ovatus	198	49	102	96	11	4	91	92	2.76678343380699	0.783243731267316	12.358736452027	0.107010343443216	0.325574814493038	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bacteroides fragilis__Bacteroides dorei	198	49	102	96	3	8	99	88	0.335090489997215	0.0555530336063489	1.45112046988359	0.125221082497322	0.325574814493038	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Faecalibacterium prausnitzii__Bacteroides dorei	198	49	102	96	6	2	96	94	2.9230054015365	0.506217791877162	30.324644850731	0.280802862059984	0.594240199925903	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bacteroides dorei__Faecalibacterium prausnitzii	198	49	102	96	3	6	99	90	0.45630701563172	0.0717488953933935	2.21139517249561	0.319975492267794	0.594240199925903	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	UCG-002 sp.__Bacteroides dorei	198	49	102	96	2	4	100	92	0.461750921518725	0.0408646338793526	3.30807264437817	0.433603821675695	0.704606210223005	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Segatella sp.__Faecalibacterium prausnitzii	198	49	102	96	6	3	96	93	1.93125518630101	0.398505690399956	12.28179582671	0.499484891354249	0.721478176400582	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bifidobacterium breve__Faecalibacterium prausnitzii	198	49	102	96	3	4	99	92	0.698241795592637	0.0996280362581789	4.24739718429696	0.714461213406994	0.778213867572862	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bacteroides ovatus__Bacteroides dorei	198	49	102	96	6	4	96	92	1.43489465813258	0.328145671882696	7.14354566625334	0.748669216399327	0.778213867572862	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Blautia sp.	198	49	102	96	6	4	96	92	1.43489465813258	0.328145671882696	7.14354566625334	0.748669216399327	0.778213867572862	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	2	Bifidobacterium breve__Bacteroides dorei	198	49	102	96	6	7	96	89	0.795568948077341	0.212142877114166	2.88257383055504	0.778213867572862	0.778213867572862	agp_transfer	depth2_frozen_agp_absorb
AGP transfer	3	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii	194	49	100	94	1	8	99	86	0.109571142758109	0.00242797590476252	0.844646673505877	0.0158664983749799	0.184358313286954	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Lachnospiraceae fam.__Faecalibacterium prausnitzii__Bacteroides dorei	194	49	100	94	1	7	99	87	0.126630393322416	0.0027630770673088	1.01695756768072	0.0307263855478257	0.184358313286954	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	[Eubacterium] coprostanoligenes group fam.	194	49	100	94	5	0	95	94	Inf	0.877904095061277	Inf	0.0598788429769632	0.239515371907853	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Bacteroides fragilis__Bacteroides dorei	194	49	100	94	3	8	97	86	0.334268230307355	0.0553802237215001	1.44877237368946	0.124827597776689	0.374482793330068	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Faecalibacterium prausnitzii__Bacteroides dorei__Bacteroides ovatus	194	49	100	94	5	1	95	93	4.86111573048575	0.529575565571561	233.685471465689	0.212791597999793	0.510699835199504	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Bacteroides dorei__Bacteroides ovatus__Faecalibacterium prausnitzii	194	49	100	94	4	1	96	93	3.85125466915246	0.372156525207984	192.662681431332	0.369692663920546	0.739385327841093	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	UCG-002 sp.__Bacteroides dorei	194	49	100	94	2	4	98	90	0.46097211559023	0.0407767858083469	3.30435560068177	0.433214865236935	0.742654054691889	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Bifidobacterium breve__Faecalibacterium prausnitzii	194	49	100	94	3	4	97	90	0.69717830241824	0.0994202176269194	4.24352077613346	0.714219370109619	0.848694328049184	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Bacteroides ovatus__Bacteroides dorei__Faecalibacterium prausnitzii	194	49	100	94	5	3	95	91	1.59271555618365	0.29997822740729	10.5534495645777	0.721860563422196	0.848694328049184	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Blautia sp.	194	49	100	94	6	4	94	90	1.43352051877365	0.327574906713862	7.14174139783272	0.748583288715024	0.848694328049184	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Bifidobacterium breve__Bacteroides dorei	194	49	100	94	6	7	94	87	0.794263615216346	0.211607250527581	2.88047683385459	0.777969800711752	0.848694328049184	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	3	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	194	49	100	94	3	2	97	92	1.42012796208035	0.158922660403584	17.3562184979397	1	1	agp_transfer	depth3_frozen_agp_absorb
AGP transfer	4	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii__Agathobacter faecis	191	48	97	94	0	6	97	88	0	0	0.798556345293216	0.0130710767736038	0.143781844509642	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Lachnospiraceae fam.__Faecalibacterium prausnitzii__Bacteroides dorei	191	48	97	94	1	7	96	87	0.130581869506688	0.00284837706119724	1.04917595407351	0.0329786551205513	0.181382603163032	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	[Eubacterium] coprostanoligenes group fam.	191	48	97	94	5	0	92	94	Inf	0.905916199327367	Inf	0.0593893109737695	0.217760806903822	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Bacteroides fragilis__Bacteroides dorei	191	48	97	94	3	8	94	86	0.34490564722697	0.0571163534837088	1.49568424762241	0.129417218542091	0.35589735099075	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Faecalibacterium prausnitzii__Bacteroides dorei__Bacteroides ovatus	191	48	97	94	5	1	92	93	5.01820380064295	0.546443641075823	241.294473288142	0.211662065729788	0.465656544605534	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	UCG-002 sp.__Bacteroides dorei	191	48	97	94	2	4	95	90	0.47548493250977	0.0420459748972258	3.41030257493166	0.439598146096452	0.805929934510163	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Bifidobacterium breve__Faecalibacterium prausnitzii	191	48	97	94	3	4	94	90	0.719329085381964	0.102533462863406	4.38033550572607	0.717883687086028	0.953768593298844	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Blautia sp.	191	48	97	94	6	4	91	90	1.4804840513671	0.338105935841388	7.37798952105845	0.747543099883469	0.953768593298844	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Bifidobacterium breve__Bacteroides dorei	191	48	97	94	6	7	91	87	0.820322258059639	0.218410853717632	2.97702252626947	0.780356121789963	0.953768593298844	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Bacteroides ovatus__Bacteroides dorei__Faecalibacterium prausnitzii__Agathobacter faecis	191	48	97	94	4	3	93	91	1.30285238835989	0.213947690337782	9.14003329407298	1	1	agp_transfer	depth4_frozen_agp_absorb
AGP transfer	4	Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei__Agathobacter faecis	191	48	97	94	3	2	94	92	1.46516880922612	0.163905258020164	17.9128739287689	1	1	agp_transfer	depth4_frozen_agp_absorb
